Laserleistung;Scangeschwindigkeit;Hatchabstand;Schichtdicke;ED;TE;Dichte
270;1625;0.07124;0.1;0.1661538461538462;23.32311147583466;99.933
224;565;0.08127;0.1;0.3964601769911504;48.78309056123421;96.68
109;1472;0.06431;0.05;0.0740489130434782;23.02873986735446;84.401
284;974;0.06589;0.1;0.2915811088295688;44.25271040060233;99.751
224;273;0.16804;0.05;0.8205128205128205;97.65684605008576;96.199
149;1231;0.12886;0.025;0.1210398050365556;37.57249884729338;99.113
275;300;0.08456;0.075;0.9166666666666666;144.53905182382;96.713
154;1420;0.06946;0.075;0.1084507042253521;20.81787200793783;93.479
249;1656;0.19282;0.05;0.1503623188405797;15.59613306094593;90.51
324;1003;0.0959;0.05;0.3230309072781655;67.36828097563411;99.862
137;1065;0.14476;0.025;0.1286384976525822;35.54531573710477;98.104
212;1422;0.12331;0.025;0.1490857946554149;48.36129905292836;99.981
160;988;0.05917;0.05;0.1619433198380567;54.73832003990423;99.955
348;535;0.09506;0.1;0.6504672897196262;68.42702395535726;96.78
222;1606;0.0902999999999999;0.1;0.1382316313823163;15.3080433424492;94.548
210;887;0.1176;0.05;0.2367531003382187;40.26413271058141;99.973
175;748;0.07583;0.025;0.2339572192513369;123.4114304372079;99.664
323;894;0.10778;0.05;0.3612975391498882;67.04352183148787;99.826
240;1307;0.11016;0.075;0.1836266258607498;22.22544491173443;99.959
348;1349;0.17959;0.05;0.2579688658265382;28.72864478273157;99.835
336;643;0.14436;0.05;0.5225505443234837;72.39547579987304;99.073
256;1313;0.11348;0.05;0.194973343488195;34.36259137966073;99.989
225;940;0.07575;0.025;0.2393617021276596;126.3956182852328;99.95
225;680;0.05497;0.1;0.3308823529411765;60.19326049502938;98.805
289;1308;0.16023;0.05;0.2209480122324159;27.57885692222629;99.889
309;1446;0.17589;0.05;0.2136929460580913;24.29847587220323;99.042
297;765;0.09109;0.1;0.3882352941176471;42.62106643074399;99.105
291;803;0.16382;0.025;0.3623910336239103;88.4851748562838;99.83
126;1003;0.17415;0.025;0.1256231306081755;28.85400645608394;94.811
265;1396;0.1563;0.1;0.1898280802292264;12.14511069924673;86.164
332;1382;0.18851;0.05;0.2402315484804631;25.48740634241824;99.414
187;757;0.17365;0.025;0.2470277410832233;56.90244539780553;99.958
233;849;0.09073;0.05;0.2744405182567727;60.49609131638326;99.748
200;646;0.18035;0.025;0.3095975232198143;68.66593251340487;99.441
216;362;0.15265;0.025;0.5966850828729282;156.353772125235;97.955
272;890;0.18618;0.075;0.3056179775280899;21.88691785928241;99.549
148;281;0.12997;0.025;0.5266903914590747;162.0959887540431;94.611
262;1192;0.08631;0.075;0.2197986577181208;33.9549156479544;99.991
190;808;0.1081;0.025;0.2351485148514851;87.0114763557762;99.885
171;797;0.11998;0.05;0.2145545796737767;35.76505745520531;99.933
294;1606;0.05643;0.075;0.1830635118306351;43.2544182953831;99.995
206;381;0.10081;0.1;0.5406824146981627;53.63380762802924;95.176
167;1457;0.10991;0.05;0.1146190803019904;20.85689751651176;93.769
187;1280;0.063;0.025;0.14609375;92.7579365079365;99.99
201;918;0.18201;0.05;0.2189542483660131;24.05958445865756;98.831
77;331;0.09738;0.075;0.2326283987915408;31.85163261334166;89.05
265;1032;0.10126;0.05;0.2567829457364341;50.71754804195815;99.983
315;681;0.12301;0.05;0.4625550660792951;75.20609155016587;98.893
275;764;0.16262;0.025;0.3599476439790576;88.53711572477125;99.815
241;342;0.05613;0.1;0.7046783625730995;125.5439805047389;97.076
99;534;0.17065;0.025;0.1853932584269663;43.45578867318284;95.83
149;489;0.11239;0.1;0.3047034764826176;27.11126225488189;96.698
339;873;0.17204;0.075;0.3883161512027491;30.09502838120973;99.932
343;1538;0.17743;0.025;0.2230169050715214;50.27715833207945;99.925
302;835;0.17273;0.05;0.3616766467065868;41.87768733938364;99.969
147;630;0.0938499999999999;0.025;0.2333333333333333;99.4494761143669;99.78
254;1344;0.09777;0.1;0.1889880952380952;19.32986552501741;99.81
172;231;0.08564;0.05;0.7445887445887446;173.8880767372126;94.767
117;608;0.08616;0.075;0.1924342105263158;29.77935786541563;93.932
321;596;0.08159;0.05;0.5385906040268457;132.023680359565;97.487
252;1347;0.17193;0.025;0.1870824053452116;43.52524989128403;99.845
